latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.744116,-0.864258,50.0,0,GMT,GMT

time,wind_speed_10m (m/s),wind_speed_100m (m/s),wind_direction_10m (deg),wind_direction_100m (deg),temperature_2m (degC),surface_pressure (hPa),precipitation (mm/h),relative_humidity_2m (unitless),is_day (percent)
2012-01-01 00:00:00,5.031528173582982,13.29384000757609,232.6136507791493,235.4778992872938,11.723661856179547,1013.25,0.0,0.7,100.0
2012-01-01 01:00:00,4.527460521099659,12.225673366134863,228.8306320562365,231.7028116980504,11.609078954025847,1013.25,0.0,0.7,100.0
2012-01-01 02:00:00,4.485135718371707,12.302627975928186,224.031077247044,227.2459157398295,11.532408764515651,1013.25,0.0,0.7,0.0
2012-01-01 03:00:00,4.684234879367335,12.708081035334436,224.3870074445516,227.5269258723069,11.654835371126183,1013.25,0.0,0.7,0.0
2012-01-01 04:00:00,4.698410301463916,12.869863795175233,226.4696964332082,229.44407636164505,11.762742178355609,1013.25,0.0,0.7,0.0
2012-01-01 05:00:00,4.630130550495281,12.744704427600963,226.8512190084806,230.3941707697616,11.701893955878461,1013.25,0.0,0.7,0.0
2012-01-01 06:00:00,4.540957516013296,12.575789389695386,225.0978314513624,228.98770155346847,11.549570132715246,1013.25,0.0,0.7,0.0
2012-01-01 07:00:00,4.505212250069763,12.347085645045642,220.13359667758897,223.980114745138,11.412753589962847,1013.25,0.0,0.7,0.0
2012-01-01 08:00:00,4.488766023433702,12.418769145441482,215.1389745010421,218.6488598870983,11.60807203578213,1013.25,0.0,0.7,0.0
2012-01-01 09:00:00,4.791507155756748,12.944490097875477,211.6443445900514,215.05925829924809,11.746438919140076,1013.25,0.0,0.7,100.0
2012-01-01 10:00:00,5.0322864200465895,13.062323153473717,207.06543160490844,210.9922344924742,11.984709244970475,1013.25,0.0,0.7,100.0
2012-01-01 11:00:00,5.795424703823582,14.585954967718544,206.0770541952411,209.2426187369035,12.221272661865271,1013.25,0.0,0.7,100.0
2012-01-01 12:00:00,6.711506737815528,16.713313638266424,207.281237858246,212.2353784032541,12.3714614581084,1013.25,0.0,0.7,100.0
2012-01-01 13:00:00,7.018534780243621,17.879699459836914,210.07408226832115,213.6185293711608,12.327774582972324,1013.25,0.0,0.7,100.0
2012-01-01 14:00:00,7.919340341574528,19.06514931747298,209.6733814645476,212.9849575385895,12.37345735890841,1013.25,0.0,0.7,100.0
2012-01-01 15:00:00,7.175730847643832,18.30010347165729,213.43888973896395,215.48549831064813,11.962897784947643,1013.25,0.0,0.7,100.0
2012-01-01 16:00:00,6.911155756503328,17.53471205909977,211.71628782944256,213.49074312585017,11.737386181867748,1013.25,0.0,0.7,100.0
2012-01-01 17:00:00,7.201433510181726,17.907956172096487,211.73270899352843,213.13172447684457,11.314618267783544,1013.25,0.0,0.7,100.0
2012-01-01 18:00:00,7.853966852901973,18.59271504625124,227.0441051926032,227.5960724015292,11.205671112564119,1013.25,0.0,0.7,0.0
2012-01-01 19:00:00,5.79745956002456,14.912743379810864,254.7513316304726,256.5389671171148,10.992705255762019,1013.25,0.0,0.7,0.0
2012-01-01 20:00:00,3.795498432488112,10.925997097200025,245.6357216456587,250.1154381518096,10.55695485367022,1013.25,0.0,0.7,0.0
2012-01-01 21:00:00,4.199580043315448,11.743898677171453,235.5856293580507,237.66646976213724,10.14313966235352,1013.25,0.0,0.7,0.0
2012-01-01 22:00:00,4.211045330440759,12.136589639235083,230.7138272304024,233.00157282663943,9.68780731737968,1013.25,0.0,0.7,0.0
2012-01-01 23:00:00,5.387143747892992,13.658924421958014,239.30991271196183,240.02476927441847,9.59635515183379,1013.25,0.0,0.7,0.0
2012-01-02 00:00:00,4.74387264020308,12.327289842486092,247.1120694092268,247.85278743029343,9.004197814911947,1013.25,0.0,0.7,0.0
2012-01-02 01:00:00,4.454656639044982,12.09817815967038,253.50678212672327,254.2910206818696,8.286403466291574,1013.25,0.0,0.7,0.0
2012-01-02 02:00:00,4.429183872224367,12.366987422305554,254.2225925858777,255.84094804254184,7.5097325578876735,1013.25,0.0,0.7,0.0
2012-01-02 03:00:00,4.846624554088545,12.756447352263171,255.3586381603301,256.84718508265127,7.000456334908449,1013.25,0.0,0.7,0.0
2012-01-02 04:00:00,4.74353623656408,13.003235587491648,254.2149811318669,256.0581381451797,6.44112263953582,1013.25,0.0,0.7,0.0
2012-01-02 05:00:00,4.710624372040247,12.792100702020925,254.2539494908339,256.1580384262426,5.785643505428311,1013.25,0.0,0.7,0.0
2012-01-02 06:00:00,4.375395661741522,12.155864784159188,252.16942161458203,254.9059114415304,5.8622485579185195,1013.25,0.0,0.7,0.0
2012-01-02 07:00:00,4.333579024648624,12.19247366908717,247.01257849781388,249.86626495263096,5.736930039079539,1013.25,0.0,0.7,0.0
2012-01-02 08:00:00,4.671450140059052,12.611180416783087,249.65920270086664,251.60321556250275,5.418815774811378,1013.25,0.0,0.7,0.0
2012-01-02 09:00:00,4.761287933504211,12.356797726602723,253.78814424110325,255.81932393987745,6.130703658722439,1013.25,0.0,0.7,100.0
2012-01-02 10:00:00,3.79593461938289,11.868698997829496,251.1294699094047,255.6583894301389,6.486852936004311,1013.25,0.0,0.7,100.0
2012-01-02 11:00:00,4.182255977932149,10.05685131246968,243.83768710585588,246.64238160352585,6.434384384160126,1013.25,0.0,0.7,100.0
2012-01-02 12:00:00,4.780601788307798,11.14885592306515,246.91604987427505,249.5920484256298,6.70451447251412,1013.25,0.0,0.7,100.0
2012-01-02 13:00:00,5.695061478641229,12.789968766675033,263.33596207449875,264.6327594370629,6.3075318120579595,1013.25,0.0,0.7,100.0
2012-01-02 14:00:00,4.698326082129081,10.776972594096804,268.31987256476134,270.43857813634514,6.670751804559245,1013.25,0.0,0.7,100.0
2012-01-02 15:00:00,5.101422473370572,12.413238461707712,271.4242094417894,273.33410688798483,6.516442749236717,1013.25,0.0,0.7,100.0
2012-01-02 16:00:00,3.781485433034157,10.894631388037975,259.36479695856895,262.84044725497483,5.824820935843604,1013.25,0.0,0.7,100.0
2012-01-02 17:00:00,3.660216289215908,11.06253294585382,250.5190965793976,253.4509466099097,5.345828923343106,1013.25,0.0,0.7,100.0
2012-01-02 18:00:00,3.5893104278450148,11.289772237582543,242.8867291534682,246.57694976318945,5.209344914095254,1013.25,0.0,0.7,0.0
2012-01-02 19:00:00,3.822209653095872,12.046680236330117,233.6031246100682,238.6791789907271,5.16035739975564,1013.25,0.0,0.7,0.0
2012-01-02 20:00:00,3.98365534568746,12.519647914474024,226.86283600075325,232.1315478947172,5.121572999107002,1013.25,0.0,0.7,0.0
2012-01-02 21:00:00,4.252166597344227,13.034721776642808,225.2352878315212,229.95369595920704,5.418549811818821,1013.25,0.0,0.7,0.0
2012-01-02 22:00:00,4.340405455694376,13.650609390519312,211.89498604698252,217.2164590484552,5.395222463360483,1013.25,0.0,0.7,0.0
2012-01-02 23:00:00,4.857170643816531,14.707487915459591,210.0074727701761,213.75687480712452,5.455536011258232,1013.25,0.0,0.7,0.0
2012-01-03 00:00:00,5.249443297424604,15.573236489377866,209.40212698031297,212.95964538155943,6.004492962048744,1013.25,0.0,0.7,0.0
2012-01-03 01:00:00,5.537240874836332,15.874832389367684,207.4110018340024,210.69151324498404,6.387183733587108,1013.25,0.0,0.7,0.0
2012-01-03 02:00:00,6.214967219968352,16.759657732266717,206.26983704248545,208.8787083947477,7.311120044180257,1013.25,0.0,0.7,0.0
2012-01-03 03:00:00,6.757672925315201,17.608522015621084,206.589538012621,209.19188900282623,8.002512866934126,1013.25,0.0,0.7,0.0
2012-01-03 04:00:00,7.343115336633532,18.74572859849644,211.2145009116874,213.48225244718128,8.275801001756918,1013.25,0.0,0.7,0.0
2012-01-03 05:00:00,7.855609604665022,19.74275499236788,217.31029939388856,219.35214739014907,8.782135387610424,1013.25,0.0,0.7,0.0
2012-01-03 06:00:00,8.23767279907423,20.262956692537863,220.7605311983176,222.4476494349791,9.350391226398699,1013.25,0.0,0.7,0.0
2012-01-03 07:00:00,8.224996573892275,20.54653235817248,223.18323558376807,224.7158608398668,9.8355108855244,1013.25,0.0,0.7,0.0
2012-01-03 08:00:00,8.436849303111943,21.106281073402723,226.00278186025616,227.7208524763413,10.037135516818012,1013.25,0.0,0.7,0.0
2012-01-03 09:00:00,8.689714851381977,21.544181383744945,225.6205932456688,227.34230208387515,10.175554815689168,1013.25,0.0,0.7,100.0
2012-01-03 10:00:00,8.793978403347367,21.645911127653907,226.66874312633527,228.1672208370649,10.38500328018074,1013.25,0.0,0.7,100.0
2012-01-03 11:00:00,9.114728927045864,22.198065628641388,225.58027683635697,227.2900439275807,10.794872715432518,1013.25,0.0,0.7,100.0
2012-01-03 12:00:00,9.32827969069282,22.73680023998144,224.20761133660136,226.06999838607388,11.151946768676908,1013.25,0.0,0.7,100.0
2012-01-03 13:00:00,9.452429792125614,23.27263535834546,225.75127199660187,227.48395484525136,11.47259444019943,1013.25,0.0,0.7,100.0
2012-01-03 14:00:00,9.135298132802047,22.816367396049888,233.0341376099708,234.3252355225856,11.793414143659902,1013.25,0.0,0.7,100.0
2012-01-03 15:00:00,8.573600260332851,21.15865787855926,247.293611139916,247.98155791609625,11.668796746374937,1013.25,0.0,0.7,100.0
2012-01-03 16:00:00,8.325629787255412,19.9736982964466,265.8736680195656,266.8383652445416,10.059169334676653,1013.25,0.0,0.7,100.0
2012-01-03 17:00:00,6.312567951456719,16.318203076166096,274.4890915992333,276.5140174910248,9.035021877897407,1013.25,0.0,0.7,100.0
2012-01-03 18:00:00,5.530565497032977,14.946786502960151,270.9040933096901,273.23819669274553,8.846412191057311,1013.25,0.0,0.7,0.0
2012-01-03 19:00:00,5.235406212570302,14.166666819863387,267.7647780261419,270.5303461039488,8.727128817080029,1013.25,0.0,0.7,0.0
2012-01-03 20:00:00,5.172769760759199,13.994879361563877,269.15704636725394,271.62041520050354,8.347669763889712,1013.25,0.0,0.7,0.0
2012-01-03 21:00:00,5.349073266062413,14.104077441763453,272.9357815668092,275.2653669125409,8.030980820879677,1013.25,0.0,0.7,0.0
2012-01-03 22:00:00,6.26400418022845,15.76347466605924,273.06262422572536,274.08649302710523,7.685135310840451,1013.25,0.0,0.7,0.0
2012-01-03 23:00:00,6.336850570984909,16.096002653042994,279.23462082391313,280.49161673308345,7.466586932594112,1013.25,0.0,0.7,0.0
2012-01-04 00:00:00,6.479640291863472,16.768300622086844,283.16814252933386,284.8819045033377,7.261503323427746,1013.25,0.0,0.7,0.0
2012-01-04 01:00:00,6.880259342748559,17.448938639561078,287.7972121186914,288.5043509452996,6.983571937517127,1013.25,0.0,0.7,0.0
2012-01-04 02:00:00,6.261258595578908,16.331110713038015,290.28889696532667,292.2083697368756,7.032491790042286,1013.25,0.0,0.7,0.0
2012-01-04 03:00:00,5.84968623677872,15.623867489528337,294.29321945718425,296.19715158525844,6.8842625899042105,1013.25,0.0,0.7,0.0
2012-01-04 04:00:00,5.734331161683476,15.355329250183653,297.25568072994133,298.9664495011806,6.689613509503033,1013.25,0.0,0.7,0.0
2012-01-04 05:00:00,5.358741397051365,14.753452922552974,297.03116569173085,298.9863796495008,6.513546937215722,1013.25,0.0,0.7,0.0
2012-01-04 06:00:00,4.517546704427235,13.07826097503649,294.15358442175864,297.3011006793833,6.31028552451761,1013.25,0.0,0.7,0.0
2012-01-04 07:00:00,4.0135572209060095,11.963990429861916,290.18633817108184,294.37889235085674,6.128092252330191,1013.25,0.0,0.7,0.0
2012-01-04 08:00:00,3.540400943820865,11.196755970663451,282.12400923909473,287.8284167393024,5.772850772658899,1013.25,0.0,0.7,0.0
2012-01-04 09:00:00,3.4193510815240664,10.449299954554784,274.0833065052024,280.5363048753612,6.462377576290919,1013.25,0.0,0.7,100.0
2012-01-04 10:00:00,3.90771884362644,11.18846418822096,268.7074936182464,274.5288653055048,7.520674125656797,1013.25,0.0,0.7,100.0
2012-01-04 11:00:00,6.439839464681386,14.583148408645112,275.36520282858555,275.50081432815705,8.071576885768536,1013.25,0.0,0.7,100.0
2012-01-04 12:00:00,6.13548382597443,14.194966490918157,269.85462723777977,270.59879644922614,8.341702341489508,1013.25,0.0,0.7,100.0
2012-01-04 13:00:00,7.193055293438049,15.7916524939881,265.06209560611313,265.49327369497,8.663300728541913,1013.25,0.0,0.7,100.0
2012-01-04 14:00:00,4.790803574874783,12.979136264399898,256.7082688748342,259.6280571640032,8.510103086918718,1013.25,0.0,0.7,100.0
2012-01-04 15:00:00,5.390464643583358,13.767141643461718,248.4369023859527,251.247270322532,8.215560326499599,1013.25,0.0,0.7,100.0
2012-01-04 16:00:00,5.755740417793728,14.70114420530816,242.02975851126288,244.9671486314656,8.106384168749173,1013.25,0.0,0.7,100.0
2012-01-04 17:00:00,6.010597604009535,15.53746308872097,242.38038267124008,245.0421109546989,7.923405077085249,1013.25,0.0,0.7,100.0
2012-01-04 18:00:00,6.633287409519912,16.778970757840444,243.65225003806543,245.61550253587103,7.955030397039138,1013.25,0.0,0.7,0.0
2012-01-04 19:00:00,6.923608047682791,17.440168143678648,242.64507309429257,244.92499857592887,8.04983440213374,1013.25,0.0,0.7,0.0
2012-01-04 20:00:00,7.077787096116088,17.834625367649195,244.6835872440981,246.65876206858928,8.206046307665133,1013.25,0.0,0.7,0.0
2012-01-04 21:00:00,7.528602893864827,18.89857661966596,250.1979945252932,252.20072745149167,8.321872391861348,1013.25,0.0,0.7,0.0
2012-01-04 22:00:00,7.795320976188295,19.623831569113484,253.74912545404163,255.14487280914892,8.435993413405868,1013.25,0.0,0.7,0.0
2012-01-04 23:00:00,8.175814682332103,20.136291234793287,259.8190958524737,261.44481304803526,8.34823088292842,1013.25,0.0,0.7,0.0
2012-01-05 00:00:00,8.388977167743393,20.72688916539065,263.58951405812456,265.09546381836765,8.5016857579501,1013.25,0.0,0.7,0.0
2012-01-05 01:00:00,8.298387676460546,20.78726347439237,262.4048251998521,264.36115721596946,8.423920799332052,1013.25,0.0,0.7,0.0
2012-01-05 02:00:00,8.474126132810436,21.158173951439345,260.96356741834404,262.4919350598824,8.528087693819998,1013.25,0.0,0.7,0.0
2012-01-05 03:00:00,8.397816396100234,20.97898181066289,262.8644008732512,264.59175779435645,8.647911180036829,1013.25,0.0,0.7,0.0
2012-01-05 04:00:00,8.537311057863217,21.32396756405036,263.86123559935515,265.51256830555525,8.708878153246076,1013.25,0.0,0.7,0.0
2012-01-05 05:00:00,8.586503412649353,21.347720330327043,263.4802464721386,265.1883268941367,8.805877235017874,1013.25,0.0,0.7,0.0
2012-01-05 06:00:00,8.81123378150329,21.89442463624217,264.1325865864489,265.9027938830842,8.861213262268961,1013.25,0.0,0.7,0.0
2012-01-05 07:00:00,9.197828496376228,22.69586475761302,269.02745238269614,270.47400824790714,9.18743097014385,1013.25,0.0,0.7,0.0
2012-01-05 08:00:00,9.484725820323744,23.294409252146,272.8130868418533,274.4473047977899,9.46143201573625,1013.25,0.0,0.7,0.0
2012-01-05 09:00:00,9.61239717899306,23.483731323439866,273.8979381782542,275.5149929535563,9.620003401969939,1013.25,0.0,0.7,100.0
2012-01-05 10:00:00,9.516438217586783,23.705627818178023,280.2658367836676,281.4538678396516,9.792081205540114,1013.25,0.0,0.7,100.0
2012-01-05 11:00:00,9.374913276541882,23.371255851166907,282.6002797542866,283.8369405560286,10.193421826012695,1013.25,0.0,0.7,100.0
2012-01-05 12:00:00,11.00045047122517,25.69856937251421,288.2776933687787,289.0403130805045,10.316347996367426,1013.25,0.0,0.7,100.0
2012-01-05 13:00:00,11.07107065410795,26.24518379388017,298.96435149058794,299.5772693334734,10.258083430557463,1013.25,0.0,0.7,100.0
2012-01-05 14:00:00,9.490648882457617,23.06174515179374,304.74445809548234,305.97064623946744,9.948045751678137,1013.25,0.0,0.7,100.0
2012-01-05 15:00:00,8.213541448959576,20.481461430364444,301.093470212811,302.615771522781,9.337478509921652,1013.25,0.0,0.7,100.0
2012-01-05 16:00:00,8.360768156970343,20.7242720865337,305.1321331950482,305.9295990011185,9.057739299124876,1013.25,0.0,0.7,100.0
2012-01-05 17:00:00,7.598481825332789,19.367564910961267,307.949687556001,309.1172347969816,8.74880683285187,1013.25,0.0,0.7,100.0
2012-01-05 18:00:00,6.7958312518466375,17.721127185411586,308.1716468364241,310.0056574924945,8.420667169242051,1013.25,0.0,0.7,0.0
2012-01-05 19:00:00,6.579494467682458,16.881701646110635,310.94189236731245,312.9301320628783,8.12571654277724,1013.25,0.0,0.7,0.0
2012-01-05 20:00:00,6.025422244829236,15.68128111806639,311.78263283656685,313.8950590487725,7.851137651376462,1013.25,0.0,0.7,0.0
2012-01-05 21:00:00,5.532264252926058,14.678361982233673,310.949086329691,313.45875929507383,7.4479117607625085,1013.25,0.0,0.7,0.0
2012-01-05 22:00:00,5.308068125552765,13.658112420014216,314.00726960830326,316.10391808451465,7.009769978025929,1013.25,0.0,0.7,0.0
2012-01-05 23:00:00,5.033481505883828,13.09281761372474,310.96259259069154,314.1425216997335,6.826992985705601,1013.25,0.0,0.7,0.0
2012-01-06 00:00:00,4.827852321355638,13.119592314528854,313.1258991146285,315.6736106289127,6.818712081954118,1013.25,0.0,0.7,0.0
2012-01-06 01:00:00,4.734754208006518,13.077220952145494,310.3303705279867,313.29543770973373,6.42901956427545,1013.25,0.0,0.7,0.0
2012-01-06 02:00:00,4.822461972057239,13.340355328496234,311.5461868027779,313.92774392831643,6.408027343794856,1013.25,0.0,0.7,0.0
2012-01-06 03:00:00,4.9821737222973645,13.704684545704064,315.2640841643445,317.4808988774429,6.2376475185237155,1013.25,0.0,0.7,0.0
2012-01-06 04:00:00,5.070075328865774,13.785642314330149,319.34253002537105,321.501606336208,6.0583434109906875,1013.25,0.0,0.7,0.0
2012-01-06 05:00:00,4.866860546172863,13.521857657597888,324.7191189239753,327.2641033358178,5.787652021629697,1013.25,0.0,0.7,0.0
2012-01-06 06:00:00,4.540868683795247,12.812393852898389,327.8963462122278,330.72936278273414,5.3653415421592285,1013.25,0.0,0.7,0.0
2012-01-06 07:00:00,4.099534575701298,11.995616651609414,328.7015666776792,331.5601283010375,4.928300699608258,1013.25,0.0,0.7,0.0
2012-01-06 08:00:00,3.458997681201124,10.760091917748412,328.0257115475283,331.3429527751242,4.7957335044610545,1013.25,0.0,0.7,0.0
2012-01-06 09:00:00,3.0156491656820013,9.40099243320431,324.44350397139544,329.0609552683277,5.062927150763073,1013.25,0.0,0.7,100.0
2012-01-06 10:00:00,2.553428712557696,7.681548303506836,314.4243972199181,322.2712123396873,6.410831035451565,1013.25,0.0,0.7,100.0
2012-01-06 11:00:00,3.8361030554032816,7.62219343545082,326.0074580997391,327.0942104530194,7.734844139422819,1013.25,0.0,0.7,100.0
2012-01-06 12:00:00,3.716943340345532,7.3230316386031005,321.1226712014913,322.8976000276329,8.6668536274276,1013.25,0.0,0.7,100.0
2012-01-06 13:00:00,4.089995126551834,7.914530135666144,309.600120246133,310.8772563570898,8.932557356485518,1013.25,0.0,0.7,100.0
2012-01-06 14:00:00,4.444563536800702,9.183753330778352,303.0983136890921,304.4383620495045,9.02645756430644,1013.25,0.0,0.7,100.0
2012-01-06 15:00:00,3.5392706494295134,8.304734055330373,294.877301215102,297.1536492445529,8.606089677229079,1013.25,0.0,0.7,100.0
