latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.744116,-0.864258,50.0,0,GMT,GMT

time,wind_speed_10m (m/s),wind_direction_10m (deg),temperature_2m (C),surface_pressure (hPa),relative_humidity_2m (percent),shortwave_radiation (W/m**2),direct_normal_irradiance (W/m**2),diffuse_radiation (W/m**2),dew_point_2m (C),snow_depth (m),rain (mm),albedo (percent)
2012-01-01 00:00:00,5.031528173582982,232.6136507791493,11.723661856179547,1013.25,70.0,0.106700361897711,0.0,0.106700361897711,9.723661856179547,0.0,0.0,20.0
2012-01-01 01:00:00,4.527460521099659,228.8306320562365,11.609078954025847,1013.25,70.0,0.0533501809488555,0.0,0.0533501809488555,9.609078954025847,0.0,0.0,20.0
2012-01-01 02:00:00,4.485135718371707,224.031077247044,11.532408764515651,1013.25,70.0,0.0,0.0,0.0,9.532408764515651,0.0,0.0,20.0
2012-01-01 03:00:00,4.684234879367335,224.3870074445516,11.654835371126183,1013.25,70.0,0.0,0.0,0.0,9.654835371126183,0.0,0.0,20.0
2012-01-01 04:00:00,4.698410301463916,226.4696964332082,11.762742178355609,1013.25,70.0,0.0,0.0,0.0,9.762742178355609,0.0,0.0,20.0
2012-01-01 05:00:00,4.630130550495281,226.8512190084806,11.701893955878461,1013.25,70.0,0.0,0.0,0.0,9.701893955878461,0.0,0.0,20.0
2012-01-01 06:00:00,4.540957516013296,225.0978314513624,11.549570132715246,1013.25,70.0,0.0,0.0,0.0,9.549570132715246,0.0,0.0,20.0
2012-01-01 07:00:00,4.505212250069763,220.13359667758897,11.412753589962847,1013.25,70.0,0.0,0.0,0.0,9.412753589962847,0.0,0.0,20.0
2012-01-01 08:00:00,4.488766023433702,215.1389745010421,11.60807203578213,1013.25,70.0,0.0,0.0,0.0,9.60807203578213,0.0,0.0,20.0
2012-01-01 09:00:00,4.791507155756748,211.6443445900514,11.746438919140076,1013.25,70.0,4.56324081834603,0.0,4.56324081834603,9.746438919140076,0.0,0.0,20.0
2012-01-01 10:00:00,5.0322864200465895,207.06543160490844,11.984709244970475,1013.25,70.0,15.58306211818259,0.0,15.58306211818259,9.984709244970475,0.0,0.0,20.0
2012-01-01 11:00:00,5.795424703823582,206.0770541952411,12.221272661865271,1013.25,70.0,26.85658824161452,0.0,26.85658824161452,10.221272661865271,0.0,0.0,20.0
2012-01-01 12:00:00,6.711506737815528,207.281237858246,12.3714614581084,1013.25,70.0,43.22416379070104,0.0,43.22416379070104,10.3714614581084,0.0,0.0,20.0
2012-01-01 13:00:00,7.018534780243621,210.07408226832115,12.327774582972324,1013.25,70.0,44.20491977825461,0.0,44.20491977825461,10.327774582972324,0.0,0.0,20.0
2012-01-01 14:00:00,7.919340341574528,209.6733814645476,12.37345735890841,1013.25,70.0,27.32577892870577,0.0,27.32577892870577,10.37345735890841,0.0,0.0,20.0
2012-01-01 15:00:00,7.175730847643832,213.43888973896395,11.962897784947643,1013.25,70.0,17.033032989267426,0.0,17.033032989267426,9.962897784947643,0.0,0.0,20.0
2012-01-01 16:00:00,6.911155756503328,211.71628782944256,11.737386181867748,1013.25,70.0,6.72146716971668,0.0,6.72146716971668,9.737386181867748,0.0,0.0,20.0
2012-01-01 17:00:00,7.201433510181726,211.73270899352843,11.314618267783544,1013.25,70.0,0.2000000029802322,0.0,0.2000000029802322,9.314618267783544,0.0,0.0,20.0
2012-01-01 18:00:00,7.853966852901973,227.0441051926032,11.205671112564119,1013.25,70.0,0.0,0.0,0.0,9.205671112564119,0.0,0.0,20.0
2012-01-01 19:00:00,5.79745956002456,254.7513316304726,10.992705255762019,1013.25,70.0,0.0,0.0,0.0,8.992705255762019,0.0,0.0,20.0
2012-01-01 20:00:00,3.795498432488112,245.6357216456587,10.55695485367022,1013.25,70.0,0.0,0.0,0.0,8.55695485367022,0.0,0.0,20.0
2012-01-01 21:00:00,4.199580043315448,235.5856293580507,10.14313966235352,1013.25,70.0,0.0,0.0,0.0,8.14313966235352,0.0,0.0,20.0
2012-01-01 22:00:00,4.211045330440759,230.7138272304024,9.68780731737968,1013.25,70.0,0.0,0.0,0.0,7.687807317379679,0.0,0.0,20.0
2012-01-01 23:00:00,5.387143747892992,239.30991271196183,9.59635515183379,1013.25,70.0,0.0,0.0,0.0,7.596355151833791,0.0,0.0,20.0
2012-01-02 00:00:00,4.74387264020308,247.1120694092268,9.004197814911947,1013.25,70.0,0.0,0.0,0.0,7.004197814911947,0.0,0.0,20.0
2012-01-02 01:00:00,4.454656639044982,253.50678212672327,8.286403466291574,1013.25,70.0,0.0,0.0,0.0,6.286403466291574,0.0,0.0,20.0
2012-01-02 02:00:00,4.429183872224367,254.2225925858777,7.5097325578876735,1013.25,70.0,0.0,0.0,0.0,5.5097325578876735,0.0,0.0,20.0
2012-01-02 03:00:00,4.846624554088545,255.3586381603301,7.000456334908449,1013.25,70.0,0.0,0.0,0.0,5.000456334908449,0.0,0.0,20.0
2012-01-02 04:00:00,4.74353623656408,254.2149811318669,6.44112263953582,1013.25,70.0,0.0,0.0,0.0,4.44112263953582,0.0,0.0,20.0
2012-01-02 05:00:00,4.710624372040247,254.2539494908339,5.785643505428311,1013.25,70.0,0.0,0.0,0.0,3.785643505428311,0.0,0.0,20.0
2012-01-02 06:00:00,4.375395661741522,252.16942161458203,5.8622485579185195,1013.25,70.0,0.0,0.0,0.0,3.8622485579185195,0.0,0.0,20.0
2012-01-02 07:00:00,4.333579024648624,247.01257849781388,5.736930039079539,1013.25,70.0,0.0,0.0,0.0,3.736930039079539,0.0,0.0,20.0
2012-01-02 08:00:00,4.671450140059052,249.65920270086664,5.418815774811378,1013.25,70.0,0.0,0.0,0.0,3.418815774811378,0.0,0.0,20.0
2012-01-02 09:00:00,4.761287933504211,253.78814424110325,6.130703658722439,1013.25,70.0,29.20089713357487,0.0,29.20089713357487,4.130703658722439,0.0,0.0,20.0
2012-01-02 10:00:00,3.79593461938289,251.1294699094047,6.486852936004311,1013.25,70.0,84.78244929299215,13.833983891661044,81.69830619570419,4.486852936004311,0.0,0.0,20.0
2012-01-02 11:00:00,4.182255977932149,243.83768710585588,6.434384384160126,1013.25,70.0,72.22510537897462,0.0,72.22510537897462,4.434384384160126,0.0,0.0,20.0
2012-01-02 12:00:00,4.780601788307798,246.91604987427505,6.70451447251412,1013.25,70.0,116.40658911403467,7.78842733132572,113.961706524315,4.70451447251412,0.0,0.0,20.0
2012-01-02 13:00:00,5.695061478641229,263.33596207449875,6.3075318120579595,1013.25,70.0,170.7911732242996,165.13796600599696,121.53605361563731,4.3075318120579595,0.0,0.0,20.0
2012-01-02 14:00:00,4.698326082129081,268.31987256476134,6.670751804559245,1013.25,70.0,169.54441794383794,373.5310078093737,79.01938588217406,4.670751804559245,0.0,0.0,20.0
2012-01-02 15:00:00,5.101422473370572,271.4242094417894,6.516442749236717,1013.25,70.0,131.3942427563275,663.0396273385081,31.95767666405338,4.516442749236717,0.0,0.0,20.0
2012-01-02 16:00:00,3.781485433034157,259.36479695856895,5.824820935843604,1013.25,70.0,42.37648098157115,0.0,42.37648098157115,3.8248209358436043,0.0,0.0,20.0
2012-01-02 17:00:00,3.660216289215908,250.5190965793976,5.345828923343106,1013.25,70.0,0.9041103459754588,0.0,0.9041103459754588,3.345828923343106,0.0,0.0,20.0
2012-01-02 18:00:00,3.5893104278450148,242.8867291534682,5.209344914095254,1013.25,70.0,0.0,0.0,0.0,3.2093449140952544,0.0,0.0,20.0
2012-01-02 19:00:00,3.822209653095872,233.6031246100682,5.16035739975564,1013.25,70.0,0.0,0.0,0.0,3.1603573997556396,0.0,0.0,20.0
2012-01-02 20:00:00,3.98365534568746,226.86283600075325,5.121572999107002,1013.25,70.0,0.0,0.0,0.0,3.121572999107002,0.0,0.0,20.0
2012-01-02 21:00:00,4.252166597344227,225.2352878315212,5.418549811818821,1013.25,70.0,0.0,0.0,0.0,3.4185498118188207,0.0,0.0,20.0
2012-01-02 22:00:00,4.340405455694376,211.89498604698252,5.395222463360483,1013.25,70.0,0.0,0.0,0.0,3.395222463360483,0.0,0.0,20.0
2012-01-02 23:00:00,4.857170643816531,210.0074727701761,5.455536011258232,1013.25,70.0,0.0,0.0,0.0,3.455536011258232,0.0,0.0,20.0
2012-01-03 00:00:00,5.249443297424604,209.40212698031297,6.004492962048744,1013.25,70.0,0.0,0.0,0.0,4.004492962048744,0.0,0.0,20.0
2012-01-03 01:00:00,5.537240874836332,207.4110018340024,6.387183733587108,1013.25,70.0,0.0,0.0,0.0,4.387183733587108,0.0,0.0,20.0
2012-01-03 02:00:00,6.214967219968352,206.26983704248545,7.311120044180257,1013.25,70.0,0.0,0.0,0.0,5.311120044180257,0.0,0.0,20.0
2012-01-03 03:00:00,6.757672925315201,206.589538012621,8.002512866934126,1013.25,70.0,0.0,0.0,0.0,6.002512866934126,0.0,0.0,20.0
2012-01-03 04:00:00,7.343115336633532,211.2145009116874,8.275801001756918,1013.25,70.0,0.0,0.0,0.0,6.275801001756918,0.0,0.0,20.0
2012-01-03 05:00:00,7.855609604665022,217.31029939388856,8.782135387610424,1013.25,70.0,0.0,0.0,0.0,6.782135387610424,0.0,0.0,20.0
2012-01-03 06:00:00,8.23767279907423,220.7605311983176,9.350391226398699,1013.25,70.0,0.0,0.0,0.0,7.350391226398699,0.0,0.0,20.0
2012-01-03 07:00:00,8.224996573892275,223.18323558376807,9.8355108855244,1013.25,70.0,0.0,0.0,0.0,7.8355108855244,0.0,0.0,20.0
2012-01-03 08:00:00,8.436849303111943,226.00278186025616,10.037135516818012,1013.25,70.0,0.0,0.0,0.0,8.037135516818012,0.0,0.0,20.0
2012-01-03 09:00:00,8.689714851381977,225.6205932456688,10.175554815689168,1013.25,70.0,9.739172037879808,0.0,9.739172037879808,8.175554815689168,0.0,0.0,20.0
2012-01-03 10:00:00,8.793978403347367,226.66874312633527,10.38500328018074,1013.25,70.0,25.580373059596607,0.0,25.580373059596607,8.38500328018074,0.0,0.0,20.0
2012-01-03 11:00:00,9.114728927045864,225.58027683635697,10.794872715432518,1013.25,70.0,46.4944153296688,0.0,46.4944153296688,8.794872715432518,0.0,0.0,20.0
2012-01-03 12:00:00,9.32827969069282,224.20761133660136,11.151946768676908,1013.25,70.0,53.23456765209218,0.0,53.23456765209218,9.151946768676908,0.0,0.0,20.0
2012-01-03 13:00:00,9.452429792125614,225.75127199660187,11.47259444019943,1013.25,70.0,37.187487110660136,0.0,37.187487110660136,9.47259444019943,0.0,0.0,20.0
2012-01-03 14:00:00,9.135298132802047,233.0341376099708,11.793414143659902,1013.25,70.0,42.87200954636759,0.0,42.87200954636759,9.793414143659902,0.0,0.0,20.0
2012-01-03 15:00:00,8.573600260332851,247.293611139916,11.668796746374937,1013.25,70.0,16.12402159203202,0.0,16.12402159203202,9.668796746374937,0.0,0.0,20.0
2012-01-03 16:00:00,8.325629787255412,265.8736680195656,10.059169334676653,1013.25,70.0,3.2115766799320906,0.0,3.2115766799320906,8.059169334676653,0.0,0.0,20.0
2012-01-03 17:00:00,6.312567951456719,274.4890915992333,9.035021877897407,1013.25,70.0,0.227058090908614,0.0,0.227058090908614,7.035021877897407,0.0,0.0,20.0
2012-01-03 18:00:00,5.530565497032977,270.9040933096901,8.846412191057311,1013.25,70.0,0.0,0.0,0.0,6.846412191057311,0.0,0.0,20.0
2012-01-03 19:00:00,5.235406212570302,267.7647780261419,8.727128817080029,1013.25,70.0,0.0,0.0,0.0,6.727128817080029,0.0,0.0,20.0
2012-01-03 20:00:00,5.172769760759199,269.15704636725394,8.347669763889712,1013.25,70.0,0.0,0.0,0.0,6.347669763889712,0.0,0.0,20.0
2012-01-03 21:00:00,5.349073266062413,272.9357815668092,8.030980820879677,1013.25,70.0,0.0,0.0,0.0,6.030980820879677,0.0,0.0,20.0
2012-01-03 22:00:00,6.26400418022845,273.06262422572536,7.685135310840451,1013.25,70.0,0.0,0.0,0.0,5.685135310840451,0.0,0.0,20.0
2012-01-03 23:00:00,6.336850570984909,279.23462082391313,7.466586932594112,1013.25,70.0,0.0,0.0,0.0,5.466586932594112,0.0,0.0,20.0
2012-01-04 00:00:00,6.479640291863472,283.16814252933386,7.261503323427746,1013.25,70.0,0.0,0.0,0.0,5.261503323427746,0.0,0.0,20.0
