,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25,Year Total cost (USD)
Cash Inflow of Selling electricity,0.0,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,332160036.02284825
battery: capital cost,-4370000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4370000.0
battery: fixed o&m,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
battery: variable o&m,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
Total cost per year (USD/year),-4370000.0,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,13286401.44091393,327790036.02284825
