hour,wind_electricity_kW,wind_electricity_year24_degraded_kW,solar_electricity_kW,solar_electricity_year24_degraded_kW,battery_net_power_kW,battery_electricity_out_kW,battery_soc_fraction,curtailment_kW
44,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
45,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
46,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
47,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
48,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
49,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
50,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
51,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
52,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
53,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
54,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
55,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
56,220293.93459035727,,-0.0,,20000.0,-0.0,1.0,200293.93459035727
57,220293.93459035727,,513.0027695648853,,20000.0,-0.0,1.0,200806.93735992216
58,220293.93459035727,,2801.0295275736876,,20000.0,-0.0,1.0,203094.96411793097
59,220293.93459035727,,5888.805564694225,,20000.0,-0.0,1.0,206182.7401550515
60,220293.93459035727,,6886.822293458559,,20000.0,-0.0,1.0,207180.75688381583
61,220293.93459035727,,4615.020412703777,,20000.0,-0.0,1.0,204908.95500306104
62,220293.93459035727,,5621.866181891891,,20000.0,-0.0,1.0,205915.80077224915
63,220293.93459035727,,1553.3203777410051,,20000.0,-0.0,1.0,201847.25496809828
64,220293.93459035727,,-0.0,,20000.0,-0.0,1.0,200293.93459035727
65,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
66,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
67,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
68,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
69,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
70,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
71,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
72,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
73,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
74,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
75,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
76,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
77,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
78,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
79,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
80,220293.93459035727,,-0.0,,20000.0,-0.0,1.0,200293.93459035727
81,211244.61848808866,,3484.823852397552,,20000.0,-0.0,1.0,194729.44234048622
82,220293.93459035727,,51163.840918652786,,20000.0,-0.0,1.0,251457.77550901007
83,220293.93459035727,,48869.09486523063,,20000.0,-0.0,1.0,249163.0294555879
84,220293.93459035727,,62255.188108706105,,20000.0,-0.0,1.0,262549.1226990634
85,220293.93459035727,,118114.22954223223,,20000.0,-0.0,1.0,318408.1641325895
86,220293.93459035727,,66507.67633867645,,20000.0,-0.0,1.0,266801.6109290337
87,220293.93459035727,,37946.136295940676,,20000.0,-0.0,1.0,238240.07088629794
88,220293.93459035727,,2483.536008604851,,20000.0,-0.0,1.0,202777.47059896213
89,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
90,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
91,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
92,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
93,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
94,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
95,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
96,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
97,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
98,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
99,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
100,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
