hour,wind_power_undegraded_mw,wind_power_year24_degraded_mw,solar_power_undegraded_mw,solar_power_year24_degraded_mw,battery_power_mw,curtailment_power_mw
0,295.5262090254743,249.30488945420007,0.0,0.0,3.4660786667234187,0.0
1,281.5521042135365,224.4010400668078,0.0,0.0,3.4660786667234187,0.0
2,285.32724137410395,229.69346689392802,0.0,0.0,3.466078666723419,0.0
3,290.9529753529403,239.51713362891954,0.0,0.0,3.4660786667234187,0.0
4,293.18123085965726,243.67720422176086,0.0,0.0,3.4660786667234187,0.0
5,291.7336880053877,240.87996842450673,0.0,0.0,3.4660786667234187,0.0
6,289.23002095642016,236.50767424258618,0.0,0.0,3.4660786667234196,0.0
7,286.10973060953836,231.0585758229027,0.0,0.0,3.46607866672342,0.0
8,287.50538729406975,233.49550259773065,0.0,0.0,3.46607866672342,0.0
9,293.6470750315072,244.7938416206595,0.0,0.0,-1.554893163406632,0.0
10,293.53265528405467,244.51905300876598,0.0,0.0,-1.554893163406632,0.0
11,299.25363447258195,260.6082951541767,1.4909104671475633,1.0889663521722943,-1.554893163406632,0.0
12,299.9748554751962,263.8717783363799,3.9266649081606047,2.868045462158299,-1.554893163406632,2.3466272199501645
13,299.9943537869229,263.97093318663434,4.078781528417541,2.9791469561078285,-1.554893163406632,2.518242151933805
14,299.9988865991318,263.99275453714085,1.5560065642747984,1.1365072241506995,-1.554893163406632,0.0
15,299.99595567475023,263.97846203438013,0.11136386309922781,0.08134003530178595,-1.554893163406632,0.0
16,299.988116992767,263.9390042687435,0.0,0.0,-1.554893163406632,0.0
17,299.99310852670266,263.96405425144394,0.0,0.0,0.006891473297343964,0.0
18,299.9970294019622,263.983224369906,0.0,0.0,0.0029705980377912056,0.0
19,299.115414308294,260.0584321955615,0.0,0.0,0.8845856917059791,0.0
20,223.21672986291054,163.0312635700771,0.0,0.0,0.8845856917059791,0.0
21,256.3566909138345,194.61455747473138,0.0,0.0,0.8845856917059791,0.0
22,273.3628960900935,213.60302117273284,0.0,0.0,0.8845856917059791,0.0
23,291.9394932191101,241.23501633637693,0.0,0.0,0.8845856917059791,0.0
24,271.4986704697225,211.14564039737863,0.0,0.0,0.8845856917059791,0.0
25,267.20354216796477,206.25050432849068,0.0,0.0,0.8845856917059791,0.0
26,277.2344600728486,218.70412509750264,0.0,0.0,0.8845856917059791,0.0
27,284.0616170116635,227.70120251220857,0.0,0.0,0.8845856917059791,0.0
28,289.17564031533044,236.40719045551867,0.0,0.0,0.8845856917059791,0.0
29,285.9935441864461,230.84991420727107,0.0,0.0,0.8845856917059791,0.0
30,273.1321600741028,213.2966646174694,0.0,0.0,0.8845856917059791,0.0
31,274.5465256756498,215.1603490548613,0.0,0.0,0.8845856917059791,0.0
32,284.95785616484585,229.04045184986467,0.0,0.0,0.8845856917059791,0.0
33,278.63583452435785,220.5490289726,2.0210550088692147,1.4761329547762476,-5.076672462720853,0.0
34,261.93351238295213,200.5938900148131,11.03896650477879,8.06259881261774,-5.076672462720853,0.0
35,205.9176453691779,148.58609136527502,8.843367693076594,6.458975099462842,-5.076672462720854,0.0
