surface_tilt_deg,surface_azimuth_deg,NPV_over_CAPEX,AEP,LCOE,Revenues,CAPEX
0.0,0.0,0.7376720678841854,1363.6127174467415,35.86345619136776,45.60455825747081,456.1934548090319
0.0,18.94736842105263,0.7376720678841854,1363.6127174467415,35.86345619136776,45.60455825747081,456.1934548090319
0.0,37.89473684210526,0.7376720678841854,1363.6127174467415,35.86345619136776,45.60455825747081,456.1934548090319
0.0,56.84210526315789,0.7376720678841854,1363.6127174467415,35.86345619136776,45.60455825747081,456.1934548090319
0.0,75.78947368421052,0.7376720678841854,1363.6127174467415,35.86345619136776,45.60455825747081,456.1934548090319
0.0,94.73684210526315,0.7376720678841854,1363.6127174467415,35.86345619136776,45.60455825747081,456.1934548090319
0.0,113.68421052631578,0.7376720678841854,1363.6127174467415,35.86345619136776,45.60455825747081,456.1934548090319
0.0,132.6315789473684,0.7376720678841854,1363.6127174467415,35.86345619136776,45.60455825747081,456.1934548090319
0.0,151.57894736842104,0.7376720678841854,1363.6127174467415,35.86345619136776,45.60455825747081,456.1934548090319
0.0,170.52631578947367,0.7376720678841854,1363.6127174467415,35.86345619136776,45.60455825747081,456.1934548090319
0.0,189.4736842105263,0.7376720678841854,1363.6127174467415,35.86345619136776,45.60455825747081,456.1934548090319
0.0,208.42105263157893,0.7376720678841854,1363.6127174467415,35.86345619136776,45.60455825747081,456.1934548090319
0.0,227.36842105263156,0.7376720678841854,1363.6127174467415,35.86345619136776,45.60455825747081,456.1934548090319
0.0,246.3157894736842,0.7376720678841854,1363.6127174467415,35.86345619136776,45.60455825747081,456.1934548090319
0.0,265.2631578947368,0.7376720678841854,1363.6127174467415,35.86345619136776,45.60455825747081,456.1934548090319
0.0,284.2105263157895,0.7376720678841854,1363.6127174467415,35.86345619136776,45.60455825747081,456.1934548090319
0.0,303.1578947368421,0.7376720678841854,1363.6127174467415,35.86345619136776,45.60455825747081,456.1934548090319
0.0,322.1052631578947,0.7376720678841854,1363.6127174467415,35.86345619136776,45.60455825747081,456.1934548090319
0.0,341.05263157894734,0.7376720678841854,1363.6127174467415,35.86345619136776,45.60455825747081,456.1934548090319
0.0,360.0,0.7376720678841854,1363.6127174467415,35.86345619136776,45.60455825747081,456.1934548090319
10.0,0.0,0.7155510647261552,1344.322777802458,36.32328515682109,45.08704764954758,456.1934548090319
10.0,18.94736842105263,0.7112570261001062,1341.159538498757,36.39879152482965,44.98659060770651,456.1934548090319
10.0,37.89473684210526,0.710202221572102,1340.4134421478982,36.41042524706028,44.955204930251924,456.11073598780155
10.0,56.84210526315789,0.7117767234082084,1342.090871690669,36.36881287591873,44.99203299134324,456.11073598780155
10.0,75.78947368421052,0.7158580067127871,1345.8625195989478,36.277196326282976,45.087495408359956,456.11073598780155
10.0,94.73684210526315,0.7219069320865323,1351.1930128563106,36.14953945656996,45.22898155216274,456.11073598780155
10.0,113.68421052631578,0.7291029660258217,1357.514409344614,36.00536127749051,45.404088094323264,456.1934548090319
10.0,132.6315789473684,0.7373638431326794,1364.252253546679,35.84795136246727,45.59734748238123,456.1934548090319
10.0,151.57894736842104,0.7457377663132528,1370.8269831586117,35.697314111685785,45.79325153089667,456.1934548090319
10.0,170.52631578947367,0.7534068471965447,1376.6308978780075,35.566408969632946,45.97266612081251,456.1934548090319
