Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,564277,-,-,-,35.21,-101.94,-6,1102,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,Pressure,Dew Point
2012,3,8,20,30,0.0,0.0,0.0,10.050740411890782,5.591426922096048,111.19,900,-12
2012,3,8,21,30,0.0,0.0,0.0,10.065156110150252,4.968275306294515,123.01,900,-11
2012,3,8,22,30,0.0,0.0,0.0,10.70043616421427,4.5788817317204575,133.93,900,-10
2012,3,8,23,30,0.0,0.0,0.0,9.993025490636608,3.9136398060287547,143.0,900,-10
2012,3,9,0,30,0.0,0.0,0.0,9.86773595469042,3.673355631809727,148.42000000000002,900,-9
2012,3,9,1,30,0.0,0.0,0.0,10.018603215537702,3.674989322318254,148.23,900,-9
2012,3,9,2,30,0.0,0.0,0.0,9.44392542348283,3.320712482998374,142.5,900,-8
2012,3,9,3,30,0.0,0.0,0.0,9.476489597372336,2.9913077198364135,133.26,900,-6
2012,3,9,4,30,0.0,0.0,0.0,9.554564146229945,3.0050828415435262,122.25,900,-6
2012,3,9,5,30,0.0,0.0,0.0,9.284962396081138,2.9881459974026257,110.38,900,-6
2012,3,9,6,30,0.0,0.0,0.0,8.932672191742476,3.3715618389368274,98.18,900,-6
2012,3,9,7,30,6.317893908239103,6.317893908239103,0.0,8.223585451300103,3.300576138977931,85.94,900,-7
2012,3,9,8,30,85.0328032640112,82.67427050903436,10.191523382523563,7.171750347901611,4.306042278026837,73.98,900,-8
2012,3,9,9,30,157.29031242185636,144.95060174039955,32.99626087187244,6.552687806272952,5.591969395569663,62.65,900,-12
2012,3,9,10,30,236.88288033735955,206.4725615394221,62.461603790161305,7.849380863815105,6.9236047064147215,52.49,900,-15
2012,3,9,11,30,378.49617999243713,256.27385212355875,217.3186860891591,6.521909455485728,8.224415483162147,44.45,900,-16
2012,3,9,12,30,344.23409006661365,276.33853051475955,114.01937859494618,5.915065610023397,8.858366617737659,39.88,900,-16
2012,3,9,13,30,252.04222732934093,233.3631277352627,31.9950498419606,5.957658398123115,8.928283362629145,40.02,900,-16
2012,3,9,14,30,240.5004943049613,217.633933396028,43.28876890312882,6.290610648421482,9.540257820711247,44.83,900,-15
2012,3,9,15,30,167.96503718684153,160.16056730864724,18.043399566629034,6.410544746108357,9.273255938379236,53.03,900,-14
2012,3,9,16,30,176.89469140671477,120.24692305581286,186.79199871257387,5.80726216997932,9.277096767071384,63.26,900,-13
2012,3,9,17,30,111.8700614468091,36.22542599541616,506.85414433675487,5.5927357152375965,8.676827425393526,74.64,900,-13
2012,3,9,18,30,27.54928027874295,27.54928027874295,0.0,5.844809962386932,8.196405542471211,86.61,900,-9
2012,3,9,19,30,0.0,0.0,0.0,5.6405005413540135,7.025880582913601,98.84,900,-8
