$/MWh
32.685
32.685
32.685
32.685
32.685
34.292
35.576
37.531
45.689
36.05
35.576
34.865
34.005
34.005
34.292
35.181
46.663
46.663
46.663
42.991
35.979
35.442
35.035
32.685
32.685
32.685
32.685
32.685
32.685
34.292
35.576
37.531
45.689
36.05
35.576
34.865
34.005
34.005
34.292
35.181
46.663
46.663
46.663
42.991
35.979
35.442
35.035
32.685
34.89
34.89
34.89
34.89
35.116
35.31
37.053
43.517
40.705
35.38
34.808
33.332
33.332
33.814
34.89
34.89
46.065
50.832
46.065
36.025
34.89
34.89
34.89
34.89
34.786
34.786
34.786
34.786
34.786
34.957
36.216
44.354
45.875
35.086
33.477
31.775
31.775
32.524
33.494
35.086
39.875
49.452
44.938
38.09
34.786
35.108
34.786
34.786
34.356
34.356
34.356
34.356
34.356
35.116
35.964
40.305
44.04
38.786
36.041
34.871
34.356
34.356
34.356
34.871
44.593
49.001
46.91
37.022
35.067
34.749
34.356
34.356
37.1
37.1
37.1
37.1
37.1
37.1
39.252
46.91
53.009
37.495
35.116
33.32
33.32
34.443
35.116
37.99
54.052
54.052
54.052
51.51
38.895
37.494
37.1
37.1
34.926
34.926
34.926
34.926
34.926
35.116
36.134
36.129
35.539
35.316
35.127
34.341
34.341
34.341
34.609
34.926
35.512
37.001
42.614
37.001
35.512
35.534
35.116
34.926
36.704
36.704
36.704
36.704
36.704
36.704
36.704
36.704
35.978
35.939
35.222
35.222
35.222
35.978
36.704
39.506
46.614
53.475
53.475
53.475
53.475
53.475
52.055
42.386
48.349
48.349
48.349
48.349
48.349
48.349
54.514
83.258
74.505
49.129
46.684
45.681
45.681
46.646
47.327
48.744
68.758
68.758
68.758
57.229
48.744
48.536
48.349
48.349
48.112
48.112
48.112
48.112
48.112
48.112
52.979
83.22
71.413
48.07
47.339
45.565
43.877
43.877
45.83
47.432
55.559
68.622
64.88
54.432
48.361
48.112
48.112
48.112
47.651
47.651
47.651
47.651
47.651
47.651
47.651
87.167
50.887
46.065
43.559
41.027
35.705
35.832
43.559
47.651
63.71
68.818
68.818
49.068
48.673
48.673
