metric,hydesign,h2integrate,h2_minus_hydesign
total_generation_gwh,1408.7015645538663,1404.4782290717258,-4.2233354821405555
wind_capex_million,334.3521237395856,334.3521237395856,0.0
solar_capex_million,50.25,50.25,0.0
battery_capex_million,7.752188212303461,7.752188212303461,0.0
total_capex_million,392.354311951889,392.35431195188903,5.684341886080802e-14
wind_opex_million_per_year,6.949265803077135,6.949265803077135,0.0
solar_opex_million_per_year,1.0125,1.0125,0.0
total_opex_million_per_year,7.961765803077135,7.961765803077135,0.0
npv_million,424.9913228207015,420.87652526567496,-4.114797555026541
lcoe_eur_per_mwh,30.938141898945325,25.48243390182997,-5.455707997115354
irr,0.1382663181212144,0.1382663181212144,0.0
total_curtailment_gwh,794.5053100384575,1232.2029408907576,437.6976308523001
